index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|batter[656248],-0.01,1.429,-2.785,2.587,0.046,0.029,959.0,1297.0,1.0
1|batter[656305],-2.057,0.617,-3.186,-0.858,0.052,0.014,137.0,890.0,1.03
1|batter[656413],-0.684,1.143,-2.871,1.389,0.042,0.024,725.0,1080.0,1.01
1|batter[656448],-7.426,3.037,-13.309,-1.881,0.061,0.065,2472.0,1655.0,1.01
1|batter[656484],-7.98,2.117,-12.239,-4.331,0.054,0.048,1524.0,1231.0,1.0
1|batter[656537],8.816,1.094,6.706,10.821,0.031,0.024,1217.0,1242.0,1.01
1|batter[656541],5.265,1.054,3.395,7.301,0.03,0.02,1203.0,1192.0,1.01
1|batter[656555],-1.593,0.83,-3.129,-0.022,0.038,0.018,486.0,1103.0,1.02
1|batter[656577],3.07,1.152,0.923,5.255,0.048,0.025,586.0,888.0,1.02
1|batter[656582],0.211,0.88,-1.474,1.884,0.032,0.021,776.0,1149.0,1.01
1|batter[656716],-3.236,0.837,-4.831,-1.68,0.042,0.018,419.0,1164.0,1.02
1|batter[656775],-0.738,0.722,-2.068,0.617,0.067,0.014,116.0,914.0,1.03
1|batter[656811],-1.549,0.65,-2.671,-0.262,0.036,0.013,319.0,1138.0,1.02
1|batter[656883],-5.838,3.509,-12.38,0.916,0.103,0.075,1165.0,1483.0,1.0
1|batter[656896],1.461,0.854,-0.126,3.138,0.034,0.017,649.0,1296.0,1.01
1|batter[656941],4.651,0.667,3.479,5.969,0.038,0.014,305.0,843.0,1.02
1|batter[656976],-1.317,1.221,-3.571,1.012,0.038,0.022,1037.0,1457.0,1.01
1|batter[657041],-2.43,0.717,-3.791,-1.072,0.028,0.015,636.0,1237.0,1.01
1|batter[657061],6.688,1.735,3.453,10.038,0.045,0.037,1466.0,1556.0,1.0
1|batter[657077],3.459,0.791,1.994,4.96,0.047,0.016,277.0,1186.0,1.02
1|batter[657088],-2.098,1.665,-5.101,1.095,0.041,0.038,1684.0,1527.0,1.0
1|batter[657136],4.279,0.734,2.989,5.739,0.039,0.017,359.0,783.0,1.02
1|batter[657193],9.877,3.266,3.257,15.456,0.083,0.067,1554.0,1482.0,1.0
1|batter[657557],8.192,0.73,6.915,9.637,0.052,0.015,194.0,1079.0,1.02
1|batter[657656],2.761,0.891,1.11,4.49,0.033,0.02,737.0,1160.0,1.01
1|batter[657757],-2.549,0.641,-3.782,-1.369,0.051,0.016,169.0,785.0,1.03
1|batter[658668],0.883,0.999,-0.907,2.834,0.031,0.021,1047.0,1440.0,1.01
1|batter[660162],0.629,2.418,-4.072,5.037,0.058,0.048,1731.0,1619.0,1.0
1|batter[660271],-7.164,0.563,-8.202,-6.133,0.04,0.012,204.0,1227.0,1.03
1|batter[660636],2.103,4.248,-5.515,10.264,0.095,0.089,1970.0,1579.0,1.0
1|batter[660644],-0.212,0.797,-1.657,1.338,0.042,0.017,364.0,1042.0,1.02
1|batter[660670],5.993,1.141,3.893,8.294,0.049,0.023,538.0,1032.0,1.02
1|batter[660688],-5.89,0.859,-7.583,-4.353,0.042,0.019,427.0,712.0,1.01
1|batter[660707],-8.319,1.032,-10.268,-6.435,0.035,0.022,886.0,1251.0,1.01
1|batter[660758],0.349,4.086,-7.728,7.752,0.091,0.088,2034.0,1450.0,1.0
1|batter[660766],-4.051,0.895,-5.739,-2.364,0.064,0.022,203.0,809.0,1.02
1|batter[660821],6.942,0.67,5.741,8.212,0.054,0.014,157.0,1075.0,1.02
1|batter[660844],0.296,1.869,-3.13,3.711,0.054,0.041,1218.0,1136.0,1.0
1|batter[661388],3.658,0.673,2.436,4.904,0.078,0.013,74.0,1151.0,1.04
1|batter[661531],5.726,1.851,2.12,9.032,0.05,0.036,1365.0,1447.0,1.0
1|batter[662139],-2.381,0.734,-3.683,-0.98,0.054,0.014,190.0,1154.0,1.02
1|batter[663330],-3.528,2.087,-7.33,0.325,0.051,0.043,1699.0,1500.0,1.0
1|batter[663368],-3.977,0.713,-5.366,-2.717,0.043,0.014,271.0,1381.0,1.02
1|batter[663457],1.576,0.856,0.006,3.236,0.043,0.017,399.0,1296.0,1.02
1|batter[663527],-2.544,0.915,-4.237,-0.82,0.03,0.021,898.0,1262.0,1.01
1|batter[663538],-4.324,0.678,-5.645,-3.099,0.04,0.013,326.0,992.0,1.02
1|batter[663550],-5.867,1.348,-8.248,-3.207,0.04,0.028,1146.0,1438.0,1.01
1|batter[663586],3.703,0.793,2.28,5.287,0.033,0.017,583.0,1204.0,1.01
1|batter[663604],-2.709,2.917,-7.899,2.902,0.071,0.061,1690.0,1269.0,1.0
1|batter[663609],0.56,1.776,-2.621,3.958,0.047,0.036,1445.0,1295.0,1.0
1|batter[663611],2.045,1.518,-0.938,4.784,0.044,0.031,1140.0,1468.0,1.01
1|batter[663616],-7.184,0.899,-8.814,-5.521,0.031,0.019,820.0,1082.0,1.01
1|batter[663624],-9.647,0.583,-10.762,-8.601,0.051,0.011,130.0,974.0,1.03
1|batter[663630],-2.41,2.908,-8.059,2.789,0.073,0.064,1601.0,1278.0,1.0
1|batter[663647],8.609,1.015,6.674,10.496,0.046,0.022,469.0,1078.0,1.02
1|batter[663656],-13.539,0.835,-15.226,-12.102,0.033,0.019,655.0,1272.0,1.02
1|batter[663662],-5.331,1.036,-7.218,-3.404,0.039,0.022,720.0,1397.0,1.01
